title,_0,author,_,publisher,isbn,readDate,_1,_2,thumnailImage,_3,_4,_5,_6
イシューからはじめよ,,安宅　和人,,英治出版,9784862760852,2024/08/14,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0852/9784862760852_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/6868931/,2024/08/14,0,0
ちいさくはじめるデザインシステム,,大塚亜周/稲葉志奈/金森 悠/samemaru/圓山伊吹/植田将基,,ビー・エヌ・エヌ,9784802512480,2024/08/13,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2480/9784802512480_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17440966/,2024/08/13,0,0
コメンテーター,,奥田 英朗,,文藝春秋,9784163916873,2024/07/28,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6873/9784163916873_1_8.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17475301/,2024/07/28,0,0
ヴィクトリア朝時代のインターネット,,トム・スタンデージ/服部　桂,,早川書房,9784150506094,2024/07/27,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6094/9784150506094_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17815424/,2024/07/27,0,0
凶乱令嬢ニア・リストン 1 病弱令嬢に転生した神殺しの武人の華麗なる無双録,,南野海風/磁石,,ホビージャパン,9784798629704,2024/07/21,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9704/9784798629704_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17271146/,2024/07/21,0,0
家康、江戸を建てる,,門井慶喜,,祥伝社,9784396344740,2024/07/17,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4740/9784396344740.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/15696640/,2024/07/17,0,0
悪役令嬢レベル99 その6 〜私は裏ボスですが魔王ではありません〜,,七夕　さとり/Tea,,KADOKAWA,9784040752518,2024/07/17,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2518/9784040752518_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17694879/,2024/07/17,0,0
サイバースペースの地政学,,小宮山　功一朗/小泉　悠,,早川書房,9784153400269,2024/07/16,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0269/9784153400269_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17871782/,2024/07/16,0,0
戦争と人類,,グウィン・ダイヤー/月沢　李歌子,,早川書房,9784153400153,2024/07/14,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0153/9784153400153_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17598327/,2024/07/14,0,0
ユニクロ,,杉本 貴司,,日経BP,9784296001866,2024/07/13,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1866/9784296001866_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17823039/,2024/07/13,0,0
現金の呪いーー紙幣をいつ廃止するか,,ケネス・S・ロゴフ/村井 章子,,日経BP,9784822255077,2024/07/12,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5077/9784822255077.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/14729756/,2024/07/12,0,0
ゼロトラストネットワーク,,Evan Gilman/Doug Barth/鈴木研吾/株式会社クイープ,,オライリー・ジャパン,9784873118888,2024/07/11,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8888/9784873118888.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/16063956/,2024/07/11,0,0
西洋音楽の正体 調と和声の不思議を探る,,伊藤 友計,,講談社,9784065227381,2024/07/06,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7381/9784065227381.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/16594301/,2024/07/06,0,0
人間はどこまで家畜か,,熊代　亨,,早川書房,9784153400191,2024/06/30,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0191/9784153400191_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17742843/,2024/06/30,0,0
核兵器入門,,多田 将,,星海社,9784065309506,2024/06/09,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9506/9784065309506_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17442309/,2024/06/09,0,0
きみのお金は誰のため,,田内 学,,東洋経済新報社,9784492047354,2024/06/09,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7354/9784492047354_1_7.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17607484/,2024/06/09,0,0
ユーザーインタビューのやさしい教科書,,奥泉 直子/山崎 真湖人/三澤 直加/古田 一義/伊藤 英明,,マイナビ出版,9784839976156,2024/06/01,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6156/9784839976156_1_4.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/16825778/,2024/06/01,0,0
陽キャになった俺の青春至上主義(1),,持崎湯葉,,SBクリエイティブ,9784815618667,2024/05/29,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8667/9784815618667_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17360270/,2024/05/29,0,0
AIを生んだ100のSF,,宮本　道人/宮本　裕人/大澤　博隆/西條　玲奈/福地　健太郎/長谷　敏司,,早川書房,9784153400238,2024/05/26,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0238/9784153400238_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17800857/,2024/05/26,0,0
バッタを倒しにアフリカへ,,前野ウルド浩太郎,,光文社,9784334039899,2024/05/12,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9899/9784334039899.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/14918039/,2024/05/12,0,0
プロジェクトマネジメント標準PMBOK入門,,広兼 修,,オーム社,9784274229497,2024/05/07,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9497/9784274229497_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17321931/,2024/05/07,0,0
なぜ働いていると本が読めなくなるのか,,三宅 香帆,,集英社,9784087213126,2024/04/30,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3126/9784087213126_1_8.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17812832/,2024/04/30,0,0
AITuberを作ってみたら生成AIプログラミングがよくわかった件,,阿部 由延 @sald_ra,,日経BP,9784296070787,2024/04/29,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0787/9784296070787_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17688580/,2024/04/29,0,0
｢戦争学｣概論,,黒野 耐,,講談社,9784061498075,2024/04/20,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8075/9784061498075.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/3641258/,2024/04/20,0,0
情報セキュリティの敗北史,,アンドリュー・スチュワート/小林啓倫,,白揚社,9784826902434,2024/04/19,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2434/9784826902434_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17284493/,2024/04/19,0,0
あした、裸足でこい。5,,岬　鷺宮/Hiten,,KADOKAWA,9784049155983,2024/04/14,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5983/9784049155983_1_4.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17790847/,2024/04/14,0,0
ヒトラーとナチ・ドイツ,,石田 勇治,,講談社,9784062883184,2024/04/07,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3184/9784062883184.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/13250646/,2024/04/07,0,0
カーテンコール,,筒井 康隆,,新潮社,9784103145363,2024/04/07,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5363/9784103145363_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17615845/,2024/04/07,0,0
